Store,Lon,Lat,Sales,Year
신세계 강남점,127.0036371,37.50455475,9367,2020
롯데 본점,126.9820195,37.56472994,6820,2020
롯데 잠실점,127.099159,37.51240995,5118,2020
현대 판교점,127.1123986,37.39264673,4397,2020
현대 본점 ,127.0273707,37.52710422,4033,2020
현대 무역센터점,127.0599911,37.50854149,4021,2020
신세계 본점,126.9811761,37.56046138,3633,2020
갤러리아 명품관,127.0402293,37.52836397,3548,2020
갤러리아 타임월드점,127.0574345,37.28506649,3046,2020
현대 목동점,126.8752678,37.52666933,3011,2020
롯데 인천터미널점,126.7011952,37.44233083,2602,2020
신세계 경기점,127.1080886,37.32492981,2334,2020
롯데월드타워점,127.1014835,37.5132039,2197,2020
신세계 타임스퀘어점,126.904723,37.51760824,2168,2020
AK 수원점,127.0004693,37.26555641,2038,2020
AK  분당점,127.1233904,37.38517808,1968,2020
현대 중동점,126.7622395,37.50440465,1904,2020
롯데 노원점,127.060905,37.65504017,1886,2020
현대 신촌점,126.9359273,37.5559514,1792,2020
롯데 영등포점,126.9074333,37.51639847,1727,2020
롯데 평촌점,126.9501664,37.3899199,1693,2020
현대 미아점,127.0285699,37.60822079,1668,2020
신시계 의정부점,127.046458,37.73711569,1522,2020
현대 킨텍스점,126.7512731,37.66806958,1469,2020
갤러리아 광교점,127.0573699,37.2852787,1437,2020
롯데 청량리점,127.0474905,37.58070164,1118,2020
롯데 수원점,126.9974526,37.2644219,1094,2020
롯제 부천점,126.7755803,37.50254745,1061,2020
현대 디큐브시티점,126.8892226,37.50874875,1023,2020
롯데 구리점,127.143984,37.6028628,922,2020
신세계 하남점,127.222052,37.54587358,909,2020
롯데 일산점,126.7721992,37.66037605,900,2020
롯데 미아점,127.0306183,37.61445297,805,2020
롯데 안산점,126.8346441,37.31802191,771,2020
AK 평택점,127.0853625,36.9909272,719,2020
롯데 김포공항점,126.8031301,37.56313777,712,2020
롯데 스타시티점,127.0709758,37.5391508,642,2020
롯데 관악점,126.9251949,37.49047343,492,2020